"nodes__name","nodes__value","nodes__colour","links__source","links__target","links__value"
"","","","33","4","2"
"","","","4","34","3"
"","","","4","35","1"
"","","","33","32","4"
"","","","32","34","16"
"","","","32","35","1"
"","","","33","34","4"
"","","","33","35","1"
"","","","35","34","1"
"","","","36","12","6"
"","","","36","31","1"
"","","","8","34","20"
"","","","32","8","9"
"","","","33","8","1"
"","","","17","18","2"
"","","","25","5","3"
"","","","17","13","1"
"","","","8","18","9"
"","","","12","37","1"
"","","","37","5","1"
"","","","25","37","1"
"","","","25","10","1"
"","","","38","19","4"
"","","","37","15","1"
"","","","5","18","2"
"","","","9","11","1"
"","","","39","38","2"
"","","","39","19","2"
"","","","12","18","5"
"","","","12","41","2"
"","","","12","42","2"
"","","","42","41","1"
"","","","12","32","3"
"","","","12","34","2"
"","","","12","33","1"
"","","","36","32","2"
"","","","36","34","8"
"","","","36","33","1"
"","","","40","15","1"
"","","","40","8","2"
"","","","8","6","1"
"","","","18","43","1"
"","","","44","43","2"
"","","","45","43","1"
"","","","44","18","1"
"","","","18","45","1"
"","","","44","45","1"
"","","","8","46","5"
"","","","47","46","2"
"","","","47","8","6"
"","","","48","46","2"
"","","","48","49","3"
"","","","48","8","1"
"","","","49","46","1"
"","","","49","8","1"
"","","","24","50","4"
"","","","51","24","3"
"","","","24","52","1"
"","","","51","50","4"
"","","","50","18","4"
"","","","52","50","2"
"","","","51","18","1"
"","","","51","52","1"
"","","","52","18","2"
"","","","36","8","8"
"","","","12","8","5"
"","","","8","41","1"
"","","","36","41","1"
"","","","36","15","1"
"","","","41","34","1"
"","","","15","34","1"
"","","","32","41","1"
"","","","15","32","1"
"","","","15","41","1"
"","","","32","18","2"
"","","","15","42","1"
"","","","53","18","3"
"","","","53","49","1"
"","","","55","54","2"
"","","","5","54","2"
"","","","5","55","2"
"","","","8","54","1"
"","","","8","55","1"
"","","","5","8","1"
"","","","53","8","3"
"","","","18","54","1"
"","","","53","54","1"
"","","","18","55","1"
"","","","53","55","1"
"","","","53","5","1"
"","","","53","32","2"
"","","","33","56","1"
"","","","53","34","2"
"","","","18","34","1"
"","","","53","12","2"
"","","","8","57","2"
"","","","58","8","2"
"","","","24","8","9"
"","","","24","12","2"
"","","","36","24","3"
"","","","36","18","5"
"","","","36","59","2"
"","","","36","60","2"
"","","","36","61","1"
"","","","59","18","2"
"","","","59","60","2"
"","","","59","61","1"
"","","","60","18","2"
"","","","61","18","1"
"","","","61","60","1"
"","","","40","18","2"
"","","","24","40","2"
"","","","62","34","1"
"","","","63","8","2"
"","","","8","64","1"
"","","","58","5","1"
"","","","63","32","1"
"","","","63","34","1"
"","","","36","65","2"
"","","","36","4","1"
"","","","24","34","1"
"","","","24","65","1"
"","","","67","66","2"
"","","","68","67","2"
"","","","68","66","4"
"","","","51","66","3"
"","","","66","50","3"
"","","","24","66","29"
"","","","24","69","49"
"","","","69","66","26"
"","","","51","69","1"
"","","","66","8","22"
"","","","69","8","1"
"","","","70","71","2"
"","","","72","8","10"
"","","","72","66","43"
"","","","30","72","1"
"","","","72","29","1"
"","","","24","72","54"
"","","","69","70","1"
"","","","69","71","1"
"","","","72","69","69"
"","","","73","74","1"
"","","","73","75","1"
"","","","73","66","1"
"","","","74","75","1"
"","","","74","66","1"
"","","","66","75","4"
"","","","68","69","1"
"","","","69","76","1"
"","","","66","76","3"
"","","","68","76","3"
"","","","68","24","1"
"","","","24","76","1"
"","","","76","75","3"
"","","","74","76","1"
"","","","68","75","2"
"","","","76","77","1"
"","","","68","74","1"
"","","","66","77","1"
"","","","72","79","3"
"","","","69","79","4"
"","","","24","80","1"
"","","","72","81","1"
"","","","24","79","1"
"","","","83","82","2"
"","","","80","69","1"
"","","","84","66","3"
"","","","85","75","2"
"","","","66","81","1"
"","","","86","82","1"
"","","","66","34","6"
"","","","48","82","1"
"","","","72","87","12"
"","","","87","69","12"
"","","","24","87","8"
"","","","48","87","2"
"","","","48","24","1"
"","","","48","72","1"
"","","","48","69","1"
"","","","87","66","6"
"","","","89","24","2"
"","","","24","29","3"
"","","","29","66","2"
"","","","90","29","1"
"","","","90","24","2"
"","","","90","72","1"
"","","","90","69","1"
"","","","89","66","1"
"","","","89","29","1"
"","","","72","60","1"
"","","","91","72","2"
"","","","87","60","1"
"","","","91","87","5"
"","","","91","60","1"
"","","","24","60","1"
"","","","69","60","1"
"","","","66","60","1"
"","","","91","24","2"
"","","","91","69","2"
"","","","91","66","1"
"","","","12","66","3"
"","","","87","75","6"
"","","","91","75","1"
"","","","92","93","3"
"","","","94","92","1"
"","","","94","93","2"
"","","","95","94","1"
"","","","95","92","1"
"","","","95","93","1"
"","","","95","96","3"
"","","","99","94","5"
"","","","98","97","2"
"","","","96","93","11"
"","","","99","100","1"
"","","","94","100","2"
"","","","95","99","1"
"","","","96","98","29"
"","","","72","98","17"
"","","","96","72","23"
"","","","101","72","2"
"","","","101","98","1"
"","","","101","96","1"
"","","","99","102","3"
"","","","94","102","2"
"","","","72","103","4"
"","","","96","103","2"
"","","","103","98","2"
"","","","72","93","2"
"","","","69","93","3"
"","","","96","69","3"
"","","","94","98","4"
"","","","93","104","2"
"","","","91","93","1"
"","","","24","93","2"
"","","","105","93","1"
"","","","72","104","1"
"","","","91","104","1"
"","","","96","104","1"
"","","","69","104","1"
"","","","24","104","1"
"","","","105","104","1"
"","","","105","72","1"
